fips,name,infected,infected_num
36001,Albany,187,187
36003,Allegany,2,2
36005,New York City,"25,398",25398
36007,Broome,18,18
36009,Cattaraugus,0,0
36011,Cayuga,2,2
36013,Chautauqua,1,1
36015,Chemung,11,11
36017,Chenango,4,4
36019,Clinton,11,11
36021,Columbia,20,20
36023,Cortland,4,4
36025,Delaware,8,8
36027,Dutchess,225,225
36029,Erie,219,219
36031,Essex,4,4
36033,Franklin,2,2
36035,Fulton,1,1
36037,Genesee,6,6
36039,Greene,6,6
36041,Hamilton,2,2
36043,Herkimer,9,9
36045,Jefferson,3,3
36047,New York City,"25,398",25398
36049,Lewis,0,0
36051,Livingston,3,3
36053,Madison,17,17
36055,Monroe,160,160
36057,Montgomery,5,5
36059,Nassau,"4,657",4657
36061,New York City,"25,398",25398
36063,Niagara,23,23
36065,Oneida,13,13
36067,Onondaga,115,115
36069,Ontario,14,14
36071,Orange,910,910
36073,Orleans,3,3
36075,Oswego,4,4
36077,Otsego,5,5
36079,Putnam,111,111
36081,New York City,"25,398",25398
36083,Rensselaer,35,35
36085,New York City,"25,398",25398
36087,Rockland,"1,457",1457
36089,Saratoga,82,82
36091,Schenectady,66,66
36093,Schoharie,3,3
36095,Schuyler,0,0
36097,Seneca,0,0
36099,St. Lawrence,3,3
36101,Steuben,12,12
36103,Suffolk,"3,385",3385
36105,Sullivan,64,64
36107,Tioga,2,2
36109,Tompkins,26,26
36111,Ulster,98,98
36113,Warren,8,8
36115,Washington,6,6
36117,Wayne,11,11
36119,Westchester,"7,187",7187
36121,Wyoming,7,7
36123,Yates,0,0
